VersionTRD,CodigoReferencia,CodigoGeografico,CodigoSerie,Serie,CodigoSubserie,Subserie,CodigoSerieSubserie,Asunto,EstadoExpediente,FechaCierre,EstadoFaseArchivo,Volumen,NoFolios,NumeroDocumentos,FechaInicial,FechaFinal,NumeroCajaCustodioASE,NumeroCarpetaCustodioASE,Deposito,Area,Piso,TipoMobiliario,Bloque,Lado,Estante,Entrepaño,NumeroCajaFisica,NumeroCarpetaFisica,UbicacionArchivoGestion,UbicacionArchivoCentralASE,UbicacionArchivoHistorico,Unidadqueelaboró,Contenido,NumerodeOrden,NumerodeOrden,Fondo,Subfondo,Seccion,Subseccion,UnidadConservacionySoporte,ArchivoaTransferir,Observaciones,AgrupacionDocumental,Disposicion Final,NumeroCajaCustodio,NumeroCarpetaCustodio,Estado,HojaOrigen
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2012,CERRADO,2012,ARCHIVO HISTORICO,1,198,,20/01/2012,29/10/2012,,,DC,,,RO,16,B,5,7,68,1178,,,B16-LB-ES5-EN7-CJ68-CP1178,DEPARTAMENTO DE DISEÑO,"ACTA N 115 COMITE DEPARTAMENTO 
ACTA N 116 COMITE DEPARTAMENTO COMUNICACIONES CORREOS FORMULARIO CALIFICACION Y EVALUACION FORMATO INTERNO PARA FORMULACION DE PROYECTOS 
ACTA N 117 COMITE DEPARTAMENTO CORREOS PROPUESTA PROYECTO COMUNICACIONES PLAN DE TRABAJO FORMULARIO CALIFICACION Y EVALUACION POLITICAS Y LINEAS DE INVESTIGACION FORMATO INTERNO PARA FORMULACION DE PROYECTOS 
ACTA N 118 COMITE DEPARTAMENTO CORREOS COMUNICACIONES FORMATO PRESENTACION DE PROYECTO 
ACTA N 119 COMITE DEPARTAMENTO CORREOS FORMULARIO DE CALIFICACION Y EVALUACION IDENTIFICACION DEL PROYECTO FORMATO DE PRESUPUESTO 
ACTA N 120 COMITE DEPARTAMENTO CORREOS FORMULARIO DE CALIFICACION Y EVALUACION IDENTIFICACION DEL PROYECTO PRESUPUESTO PROPUESTA PROYECTO COMUNICACIONES FORMATO PRESENTACION DE PROYECTO PROPUESTA Y ACLARACIONES ",1,1,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2013,CERRADO,2013,ARCHIVO HISTORICO,1,142,,19/02/2013,01/11/2013,,,DC,,,RO,16,B,5,7,68,1179,,,B16-LB-ES5-EN7-CJ68-CP1179,DEPARTAMENTO DE DISEÑO,"ACTA N 121 COMITE DEPARTAMENTO Y CIRCULAR
ACTA N 122 COMITE DEPARTAMENTO 
ACTA N 123 COMITE DEPARTAMENTO CORREOS ELECTRONICOS INFORME EVALUACION DE PROYECTO FORMTO PRESENTACION DE PROYECTO COMUNICACIONES PROPUESTA PRESUPUESTAL 
ACTA N 124 COMITE DEPARTAMENTO PROPUESTA PROYECTO CORREOS FORMULARIO CALIFICACION Y EVALUACION CONVOCATORIA INTERNA 
ACTA N 125 COMITE DEPARTAMENTO CORREOS FORMULARIO CALIFICACION EVALUACION PROPUESTA PROYECTO 
ACTA N 126 COMITE DEPARTAMENTO CORREOS FORMULARIO CALIFICACION EVALUACION IDENTIFICACION DEL PROYECTO ",2,2,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2014,CERRADO,2014,ARCHIVO HISTORICO,1,13,,06/08/2014,26/11/2014,,,DC,,,RO,16,B,5,7,68,1180,,,B16-LB-ES5-EN7-CJ68-CP1180,DEPARTAMENTO DE DISEÑO,"ACTA 0127 
ACTA 0128 
ACTA 0129
ACTA 0130
ACTA 0131",3,3,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2015,CERRADO,2015,ARCHIVO HISTORICO,1,21,,23/01/2015,11/12/2015,,,DC,,,RO,16,B,5,7,68,1181,,,B16-LB-ES5-EN7-CJ68-CP1181,DEPARTAMENTO DE DISEÑO,"ACTA 0132
ACTA 0133
ACTA 0134
ACTA 0135
ACTA 0136
ACTA 0137 
ACTA 0138
ACTA 0139
ACTA 0140
ACTA 0141
ACTA 0142",4,4,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2016,CERRADO,2016,ARCHIVO HISTORICO,1,29,,18/10/2016,30/11/2016,,,DC,,,RO,16,B,5,7,68,1182,,,B16-LB-ES5-EN7-CJ68-CP1182,DEPARTAMENTO DE DISEÑO,"ACTA DE REUNION NUMERO 143
ACTA DE REUNION NUMERO 144
ACTA DE REUNION NUMERO 145
ACTA DE REUNION NUMERO 146
ACTA DE REUNION NUMERO 147
ACTA DE REUNION NUMERO 148
ACTA DE REUNION NUMERO 149",5,5,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2017,CERRADO,2017,ARCHIVO HISTORICO,1,44,,18/01/2017,05/12/2017,,,DC,,,RO,16,B,5,7,68,1183,,,B16-LB-ES5-EN7-CJ68-CP1183,DEPARTAMENTO DE DISEÑO,"ACTA DE REUNION NUMERO 163
ACTA DE REUNION NUMERO 164
ACTA DE REUNION NUMERO 165
ACTA DE REUNION NUMERO 166
ACTA DE REUNION NUMERO 167
ACTA DE REUNION NUMERO 168
ACTA DE REUNION NUMERO 169
ACTA DE REUNION NUMERO 170
ACTA DE REUNION NUMERO 171
ACTA DE REUNION NUMERO 172
ACTA DE REUNION NUMERO 173
ACTA DE REUNION NUMERO 174",6,6,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRA-FAC-AD-DEP-DDI,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2018,CERRADO,2018,ARCHIVO HISTORICO,1,23,,/05/2018,07/12/2018,,,DC,,,RO,,,,,,,,,,DEPARTAMENTO DE DISEÑO,"ACTA DE REUNION NUMERO 163
ACTA DE REUNION NUMERO 164
ACTA DE REUNION NUMERO 165
ACTA DE REUNION NUMERO 166
ACTA DE REUNION NUMERO 167
ACTA DE REUNION NUMERO 168
ACTA DE REUNION NUMERO 169
ACTA DE REUNION NUMERO 170
ACTA DE REUNION NUMERO 171
ACTA DE REUNION NUMERO 172
ACTA DE REUNION NUMERO 173
ACTA DE REUNION NUMERO 174",7,7,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,,ARCHIVO HISTORICO,LA CARPETA NO INGRESO EN LA TRANSFERENCIA DOCUMENTAL,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDAC2023
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2012,CERRADO,29/10/2012,ARCHIVO HISTORICO,2,198,,20/01/2012,29/10/2012,,,DC,RO,,RO,16,B,5,7,68,1178,,,B16-LB-ES5-EN7-CJ68-CP1178,DEPARTAMENTO DE DISEÑO,"ACTA N 115 COMITE DEPARTAMENTO 
ACTA N 116 COMITE DEPARTAMENTO COMUNICACIONES CORREOS FORMULARIO CALIFICACION Y EVALUACION FORMATO INTERNO PARA FORMULACION DE PROYECTOS 
ACTA N 117 COMITE DEPARTAMENTO CORREOS PROPUESTA PROYECTO COMUNICACIONES PLAN DE TRABAJO FORMULARIO CALIFICACION Y EVALUACION POLITICAS Y LINEAS DE INVESTIGACION FORMATO INTERNO PARA FORMULACION DE PROYECTOS 
ACTA N 118 COMITE DEPARTAMENTO CORREOS COMUNICACIONES FORMATO PRESENTACION DE PROYECTO 
ACTA N 119 COMITE DEPARTAMENTO CORREOS FORMULARIO DE CALIFICACION Y EVALUACION IDENTIFICACION DEL PROYECTO FORMATO DE PRESUPUESTO 
ACTA N 120 COMITE DEPARTAMENTO CORREOS FORMULARIO DE CALIFICACION Y EVALUACION IDENTIFICACION DEL PROYECTO PRESUPUESTO PROPUESTA PROYECTO COMUNICACIONES FORMATO PRESENTACION DE PROYECTO PROPUESTA Y ACLARACIONES ",1,8,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2013,CERRADO,01/11/2013,ARCHIVO HISTORICO,2,142,,19/02/2013,01/11/2013,,,DC,RO,,RO,16,B,5,7,68,1179,,,B16-LB-ES5-EN7-CJ68-CP1179,DEPARTAMENTO DE DISEÑO,"ACTA N 121 COMITE DEPARTAMENTO Y CIRCULAR
ACTA N 122 COMITE DEPARTAMENTO 
ACTA N 123 COMITE DEPARTAMENTO CORREOS ELECTRONICOS INFORME EVALUACION DE PROYECTO FORMTO PRESENTACION DE PROYECTO COMUNICACIONES PROPUESTA PRESUPUESTAL 
ACTA N 124 COMITE DEPARTAMENTO PROPUESTA PROYECTO CORREOS FORMULARIO CALIFICACION Y EVALUACION CONVOCATORIA INTERNA 
ACTA N 125 COMITE DEPARTAMENTO CORREOS FORMULARIO CALIFICACION EVALUACION PROPUESTA PROYECTO 
ACTA N 126 COMITE DEPARTAMENTO CORREOS FORMULARIO CALIFICACION EVALUACION IDENTIFICACION DEL PROYECTO",2,9,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2014,CERRADO,26/11/2014,ARCHIVO HISTORICO,2,13,,06/08/2014,26/11/2014,,,DC,RO,,RO,16,B,5,7,68,1180,,,B16-LB-ES5-EN7-CJ68-CP1180,DEPARTAMENTO DE DISEÑO,"ACTA 0127
ACTA 0128 
ACTA 0129
ACTA 0130
ACTA 0131",3,10,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
