VersionTRD,CodigoReferencia,CodigoGeografico,CodigoSerie,Serie,CodigoSubserie,Subserie,CodigoSerieSubserie,Asunto,EstadoExpediente,FechaCierre,EstadoFaseArchivo,Volumen,NoFolios,NumeroDocumentos,FechaInicial,FechaFinal,NumeroCajaCustodioASE,NumeroCarpetaCustodioASE,Deposito,Area,Piso,TipoMobiliario,Bloque,Lado,Estante,Entrepaño,NumeroCajaFisica,NumeroCarpetaFisica,UbicacionArchivoGestion,UbicacionArchivoCentralASE,UbicacionArchivoHistorico,Unidadqueelaboró,Contenido,NumerodeOrden,Fondo,Subfondo,Seccion,Subseccion,UnidadConservacionySoporte,ArchivoaTransferir,Observaciones,AgrupacionDocumental,Disposicion Final,NumeroCajaCustodio,NumeroCarpetaCustodio,Estado,HojaOrigen
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,CURSOS LIBRES DE MUSICA ,CERRADO,1990,ARCHIVO HISTORICO,1,,,1990,1990,,,DC,,,RO,20,B,4,7,24,81,,,B20-LB-ES4-EN7-CJ24-CP81,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,80,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,CURSOS LIBRES DE MUSICA SEGUNDO SEMESTRE ,CERRADO,1990,ARCHIVO HISTORICO,1,,,1990,1990,,,DC,,,RO,20,B,4,7,25,83,,,B20-LB-ES4-EN7-CJ25-CP83,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,82,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,SERVICIOS INTERFACULTADES,CERRADO,1990,ARCHIVO HISTORICO,1,,,1987,1990,,,DC,,,RO,20,B,5,1,26,90,,,B20-LB-ES5-EN1-CJ26-CP90,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,99,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,CURSOS LIBRES DE MUSICA PRIMER SEMESTRE,CERRADO,1991,ARCHIVO HISTORICO,1,,,1991,1991,,,DC,,,RO,20,B,4,7,25,84,,,B20-LB-ES4-EN7-CJ25-CP84,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,83,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,CURSOS LIBRES DE MUSICA SEGUNDO SEMESTRE ,CERRADO,1991,ARCHIVO HISTORICO,2,,,1991,1991,,,DC,,,RO,20,B,4,7,25,85,,,B20-LB-ES4-EN7-CJ25-CP85,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,84,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,CURSOS LIBRES DE MUSICA,CERRADO,1991,ARCHIVO HISTORICO,2,,,1991,1991,,,DC,,,RO,20,B,5,1,26,89,,,B20-LB-ES5-EN1-CJ26-CP89,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,88,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,SERVICIOS INTERFACULTADES,CERRADO,1991,ARCHIVO HISTORICO,2,,,1991,1991,,,DC,,,RO,20,B,5,1,26,93,,,B20-LB-ES5-EN1-CJ26-CP93,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,102,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,SERVICIOS INTERFACULTADES,CERRADO,1991,ARCHIVO HISTORICO,3,,,1991,1991,,,DC,,,RO,20,B,5,1,26,94,,,B20-LB-ES5-EN1-CJ26-CP94,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,103,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,NOTAS DE CARRERA DE ESTUDIOS MUSICALES,CERRADO,1992,ARCHIVO HISTORICO,1,,,1992,1992,,,DC,,,RO,20,B,3,7,2,2,,,B20-LB-ES3-EN7-CJ2-CP2,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,1,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
,VRAC-FAC-AR-SFA,BOG,,CALIFICACIONES,,,,CURSOS LIBRES DE MUSICA ,CERRADO,1992,ARCHIVO HISTORICO,2,,,1990,1992,,,DC,,,RO,20,B,4,7,25,82,,,B20-LB-ES4-EN7-CJ25-CP82,FACULTAD DE ARTES,LISTA DE CALIFICACIONES DEFINITIVAS,81,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARTES,SECRETARIA DE FACULTAD,LIBRO EMPASTADO,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACARSFA2016
