VersionTRD,CodigoReferencia,CodigoGeografico,CodigoSerie,Serie,CodigoSubserie,Subserie,CodigoSerieSubserie,Asunto,EstadoExpediente,FechaCierre,EstadoFaseArchivo,Volumen,NoFolios,NumeroDocumentos,FechaInicial,FechaFinal,NumeroCajaCustodioASE,NumeroCarpetaCustodioASE,Deposito,Area,Piso,TipoMobiliario,Bloque,Lado,Estante,Entrepaño,NumeroCajaFisica,NumeroCarpetaFisica,UbicacionArchivoGestion,UbicacionArchivoCentralASE,UbicacionArchivoHistorico,Unidadqueelaboró,Contenido,NumerodeOrden,Fondo,Subfondo,Seccion,Subseccion,UnidadConservacionySoporte,ArchivoaTransferir,Observaciones,AgrupacionDocumental,Disposicion Final,NumeroCajaCustodio,NumeroCarpetaCustodio,Estado,HojaOrigen
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,EVALUACIONES DE PROFESORES 0103 A 0503 (1/5),CERRADO,01/01/2005,ARCHIVO HISTORICO,1,,,01/01/2001,01/01/2005,,,DC,,,RO,16,B,4,1,15,778,,,B16-LB-ES4-EN1-CJ15-CP778,,"EVALUACIONES DE PROFESORES
DEPARTAMENTO DE ADMINISTRACION",75,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,EVALUACIONES DE PROFESORES 0103 A 0503 (2/5),CERRADO,01/01/2005,ARCHIVO HISTORICO,1,,,01/01/2001,01/01/2005,,,DC,,,RO,16,B,4,1,15,779,,,B16-LB-ES4-EN1-CJ15-CP779,,"EVALUACIONES DE PROFESORES
DEPARTAMENTO DE ADMINISTRACION",76,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,EVALUACIONES DE PROFESORES 0103 A 0503 (3/5),CERRADO,01/01/2005,ARCHIVO HISTORICO,1,,,01/01/2001,01/01/2005,,,DC,,,RO,16,B,4,1,15,780,,,B16-LB-ES4-EN1-CJ15-CP780,,"EVALUACIONES DE PROFESORES
OTROS DEPARTAMENTOS",77,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,EVALUACIONES DE PROFESORES 0103 A 0503 (4/5),CERRADO,01/01/2005,ARCHIVO HISTORICO,1,,,01/01/2001,01/01/2005,,,DC,,,RO,16,B,4,1,16,781,,,B16-LB-ES4-EN1-CJ16-CP781,,"EVALUACIONES DE PROFESORES
OTROS DEPARTAMENTOS",78,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,EVALUACIONES DE PROFESORES 0103 A 0503 (5/5),CERRADO,01/01/2005,ARCHIVO HISTORICO,1,,,01/01/2001,01/01/2005,,,DC,,,RO,16,B,4,1,16,782,,,B16-LB-ES4-EN1-CJ16-CP782,,"EVALUACIONES DE PROFESORES
DEPARTAMENTO DE ADMINISTRACION",79,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,DESCRIPCION PLANES DE ESTUDIO,CERRADO,01/01/2006,ARCHIVO HISTORICO,1,,,12/11/1992,01/01/2006,,,DC,,,RO,16,B,3,5,7,719,,,B16-LB-ES3-EN5-CJ7-CP719,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DEL CURRICULO 18 AL 26,16,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,FORMATOS,CERRADO,01/01/2007,ARCHIVO HISTORICO,1,,,01/01/2007,01/01/2007,,,DC,,,RO,16,B,3,6,8,721,,,B16-LB-ES3-EN6-CJ8-CP721,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,"FORMULARIO ASPIRANTE
LISTADO DE DOCUMENTOS PARA NEOJAVERIANOS
REVISION DE EXAMENES
LISTADO PARA ESTUDIANTES QUE NO APARECEN EN LA LISTA OFICIAL
FALTA LEVE
ENCUESTA CARACTERIZACIÓN DE ESTUDIANTES
EXTENSION PLAZO PARA ENTREGA DE POS
SOLICITUDES
PAZ Y SALVOS",18,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-DF,BOG,,INFORMES,,INFORMES DE DIRECTIVOS,25.4,INFORME DE GESTION E INDICADORES,CERRADO,01/01/2013,ARCHIVO HISTORICO,1,25,,01/01/2012,01/01/2013,,,DC,,,RO,,,,,324,5004,,,CJ324-CP5004,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,INFORMES,7,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,"CODIGO SERIE/ SUBSERIE 25,4",,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
,VRAC-FAC-CEA-DF,BOG,,MEDIO UNIVERSITARIO,,BIENESTAR,,GRUPO DE DANZAS,CERRADO,01/01/2014,ARCHIVO HISTORICO,1,74,,30/01/2012,01/01/2014,,,DC,,,RO,,,,,324,5005,,,CJ324-CP5005,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,"AUTORIZACIONES
ASISTENCIAS",8,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,INCLUYE UN CD,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,INFORME DE ACTIVIDADES DEL CONSEJO DE LA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CERRADO,01/02/2005,ARCHIVO HISTORICO,1,,,01/02/2002,01/02/2005,,,DC,,,RO,16,B,3,6,8,726,,,B16-LB-ES3-EN6-CJ8-CP726,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,INFORME DE ACTIVIDADES DEL CONSEJO DE LA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS DE FEBRERO 2002 A DICIEMBRE 2004,23,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
